"Module","Sub-Section","Permission Name","URL/Page (where enforced)","Description / Purpose","Expected Behavior — Has Permission","Expected Behavior — No Permission","How to Test","Frontend","Backend"
"Registration","Create Order / Patient Details","Allow create order","Registration → Create Order (/registration/create)","Registration → Create Order / Patient Details: controls the “Allow create order” capability.","The “Allow create order” control is visible and enabled on this page; the user may perform the action.","The “Allow create order” control is hidden or disabled on this page; the action is not permitted (and is rejected if attempted directly).","Grant “Allow create order” to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), open this page as that user, and confirm the control is available. Then revoke it and confirm the control disappears / the action is blocked.","Yes","Yes"
"Registration","Create Order / Patient Details","View create order","Registration → Create Order (/registration/create)","Controls visibility of the Create Order screen — the page-access gate for Create Order (distinct from ""Allow create order"", which permits actually submitting/creating an order).","The Create Order screen is visible: the user can open the Create Order page (menu item / route available).","The Create Order screen is not shown: the Create Order menu item/route is hidden and direct navigation to /registration/create is blocked.","Grant ""View create order"" to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), log in as that user, and confirm the Create Order page/menu is visible. Then revoke it and confirm the page/menu disappears and direct navigation to /registration/create is blocked.","Yes",""
"Registration","Create Order / Patient Details","Create patient","Registration → Create Order (/registration/create)","Registration → Create Order / Patient Details: controls the “Create patient” capability.","The “Create patient” control is visible and enabled on this page; the user may perform the action.","The “Create patient” control is hidden or disabled on this page; the action is not permitted (and is rejected if attempted directly).","Grant “Create patient” to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), open this page as that user, and confirm the control is available. Then revoke it and confirm the control disappears / the action is blocked.","Yes","Yes"
"Registration","Create Order / Patient Details","Update patient details","Registration → Create Order (/registration/create)","Registration → Create Order / Patient Details: controls the “Update patient details” capability.","The “Update patient details” control is visible and enabled on this page; the user may perform the action.","The “Update patient details” control is hidden or disabled on this page; the action is not permitted (and is rejected if attempted directly).","Grant “Update patient details” to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), open this page as that user, and confirm the control is available. Then revoke it and confirm the control disappears / the action is blocked.","Yes","Yes"
"Registration","Create Order / Patient Details","View past order","Registration → Create Order (/registration/create)","Registration → Create Order / Patient Details: controls the “View past order” capability.","The “View past order” control is visible and enabled on this page; the user may perform the action.","The “View past order” control is hidden or disabled on this page; the action is not permitted (and is rejected if attempted directly).","Grant “View past order” to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), open this page as that user, and confirm the control is available. Then revoke it and confirm the control disappears / the action is blocked.","Yes",""
"Registration","Create Order / Patient Details","Convert past orders","Registration → Create Order (/registration/create)","Registration → Create Order / Patient Details: controls the “Convert past orders” capability.","The “Convert past orders” control is visible and enabled on this page; the user may perform the action.","The “Convert past orders” control is hidden or disabled on this page; the action is not permitted (and is rejected if attempted directly).","Grant “Convert past orders” to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), open this page as that user, and confirm the control is available. Then revoke it and confirm the control disappears / the action is blocked.","",""
"Registration","Create Order / Patient Details","Update patient category","Registration → Create Order (/registration/create)","Registration → Create Order / Patient Details: controls the “Update patient category” capability.","The “Update patient category” control is visible and enabled on this page; the user may perform the action.","The “Update patient category” control is hidden or disabled on this page; the action is not permitted (and is rejected if attempted directly).","Grant “Update patient category” to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), open this page as that user, and confirm the control is available. Then revoke it and confirm the control disappears / the action is blocked.","Yes",""
"Registration","Create Order / Patient Details","Update privilege card","Registration → Create Order (/registration/create)","Registration → Create Order / Patient Details: controls the “Update privilege card” capability.","The “Update privilege card” control is visible and enabled on this page; the user may perform the action.","The “Update privilege card” control is hidden or disabled on this page; the action is not permitted (and is rejected if attempted directly).","Grant “Update privilege card” to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), open this page as that user, and confirm the control is available. Then revoke it and confirm the control disappears / the action is blocked.","Yes",""
"Registration","Order Details","Update order ID","Registration → Create Order (/registration/create)","Registration → Order Details: controls the “Update order ID” capability.","The “Update order ID” control is visible and enabled on this page; the user may perform the action.","The “Update order ID” control is hidden or disabled on this page; the action is not permitted (and is rejected if attempted directly).","Grant “Update order ID” to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), open this page as that user, and confirm the control is available. Then revoke it and confirm the control disappears / the action is blocked.","","Yes"
"Registration","Order Details","Update order date & time","Registration → Create Order (/registration/create)","Registration → Order Details: controls the “Update order date & time” capability.","The “Update order date & time” control is visible and enabled on this page; the user may perform the action.","The “Update order date & time” control is hidden or disabled on this page; the action is not permitted (and is rejected if attempted directly).","Grant “Update order date & time” to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), open this page as that user, and confirm the control is available. Then revoke it and confirm the control disappears / the action is blocked.","Yes",""
"Registration","Order Details","Update order type","Registration → Create Order (/registration/create)","Registration → Order Details: controls the “Update order type” capability.","The “Update order type” control is visible and enabled on this page; the user may perform the action.","The “Update order type” control is hidden or disabled on this page; the action is not permitted (and is rejected if attempted directly).","Grant “Update order type” to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), open this page as that user, and confirm the control is available. Then revoke it and confirm the control disappears / the action is blocked.","Yes",""
"Registration","Order Details","Update billing type","Registration → Create Order (/registration/create)","Registration → Order Details: controls the “Update billing type” capability.","The “Update billing type” control is visible and enabled on this page; the user may perform the action.","The “Update billing type” control is hidden or disabled on this page; the action is not permitted (and is rejected if attempted directly).","Grant “Update billing type” to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), open this page as that user, and confirm the control is available. Then revoke it and confirm the control disappears / the action is blocked.","Yes",""
"Registration","Order Details","Update order notes","Registration → Create Order (/registration/create)","Registration → Order Details: controls the “Update order notes” capability.","The “Update order notes” control is visible and enabled on this page; the user may perform the action.","The “Update order notes” control is hidden or disabled on this page; the action is not permitted (and is rejected if attempted directly).","Grant “Update order notes” to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), open this page as that user, and confirm the control is available. Then revoke it and confirm the control disappears / the action is blocked.","Yes",""
"Registration","Order Details","Allow zero bill order","Registration → Create Order (/registration/create)","Registration → Order Details: controls the “Allow zero bill order” capability.","The “Allow zero bill order” control is visible and enabled on this page; the user may perform the action.","The “Allow zero bill order” control is hidden or disabled on this page; the action is not permitted (and is rejected if attempted directly).","Grant “Allow zero bill order” to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), open this page as that user, and confirm the control is available. Then revoke it and confirm the control disappears / the action is blocked.","Yes","Yes"
"Registration","Diagnostic Details","Update sample source","Registration → Create Order (/registration/create) — Diagnostics section","Registration → Diagnostic Details: controls the “Update sample source” capability.","The “Update sample source” control is visible and enabled on this page; the user may perform the action.","The “Update sample source” control is hidden or disabled on this page; the action is not permitted (and is rejected if attempted directly).","Grant “Update sample source” to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), open this page as that user, and confirm the control is available. Then revoke it and confirm the control disappears / the action is blocked.","Yes",""
"Registration","Diagnostic Details","Update sample collection charges","Registration → Create Order (/registration/create) — Diagnostics section","Registration → Diagnostic Details: controls the “Update sample collection charges” capability.","The “Update sample collection charges” control is visible and enabled on this page; the user may perform the action.","The “Update sample collection charges” control is hidden or disabled on this page; the action is not permitted (and is rejected if attempted directly).","Grant “Update sample collection charges” to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), open this page as that user, and confirm the control is available. Then revoke it and confirm the control disappears / the action is blocked.","Yes",""
"Registration","Diagnostic Details","Update visit charges","Registration → Create Order (/registration/create) — Diagnostics section","Registration → Diagnostic Details: controls the “Update visit charges” capability.","The “Update visit charges” control is visible and enabled on this page; the user may perform the action.","The “Update visit charges” control is hidden or disabled on this page; the action is not permitted (and is rejected if attempted directly).","Grant “Update visit charges” to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), open this page as that user, and confirm the control is available. Then revoke it and confirm the control disappears / the action is blocked.","Yes",""
"Registration","Diagnostic Details","Add short phlebotomist name","Registration → Create Order (/registration/create) — Diagnostics section","Registration → Diagnostic Details: controls the “Add short phlebotomist name” capability.","The “Add short phlebotomist name” control is visible and enabled on this page; the user may perform the action.","The “Add short phlebotomist name” control is hidden or disabled on this page; the action is not permitted (and is rejected if attempted directly).","Grant “Add short phlebotomist name” to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), open this page as that user, and confirm the control is available. Then revoke it and confirm the control disappears / the action is blocked.","Yes",""
"Registration","Diagnostic Details","Update phlebotomist name","Registration → Create Order (/registration/create) — Diagnostics section","Registration → Diagnostic Details: controls the “Update phlebotomist name” capability.","The “Update phlebotomist name” control is visible and enabled on this page; the user may perform the action.","The “Update phlebotomist name” control is hidden or disabled on this page; the action is not permitted (and is rejected if attempted directly).","Grant “Update phlebotomist name” to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), open this page as that user, and confirm the control is available. Then revoke it and confirm the control disappears / the action is blocked.","Yes",""
"Registration","Diagnostic Details","Update collection date and time","Registration → Create Order (/registration/create) — Diagnostics section","Registration → Diagnostic Details: controls the “Update collection date and time” capability.","The “Update collection date and time” control is visible and enabled on this page; the user may perform the action.","The “Update collection date and time” control is hidden or disabled on this page; the action is not permitted (and is rejected if attempted directly).","Grant “Update collection date and time” to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), open this page as that user, and confirm the control is available. Then revoke it and confirm the control disappears / the action is blocked.","Yes",""
"Registration","OPD Details","Add short consultant","Registration → Create Order (/registration/create) — OPD section","Registration → OPD Details: controls the “Add short consultant” capability.","The ""Add short consultant"" control is visible and enabled for the user; the action may be performed.","The ""Add short consultant"" control is hidden or disabled; the action is not permitted, and a direct attempt is rejected server-side (403 PERMISSION_DENIED) unless the caller is a business_admin/administrator (who bypass all checks).","Grant ""Add short consultant"" to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), act as that user, and confirm the control is available and works. Then revoke it and confirm the control disappears / the action is blocked.","Yes",""
